hitId,queryNum,topicNum,subQueryNum,query,text1,document1,score1,text2,document2,score2,text3,document3,score3,text4,document4,score4,text5,document5,score5,workerId
1,32_1,32,1," <span>What are the different types of sharks?</span>"," From the blue shark to the whale shark, what are the 20 largest sharks? Check out this list of the 20 largest sharks from Shark Week.",MARCO_13253,1," The Six gill Shark which is also known as Cow Shark is among the largest sharks of the world. It is predator and feeds on different type of animals. This large shark is found in almost all Oceans, especially in Pacific Ocean. It can be as long as 18 ft. This predator shark rarely attacks on human. Average weight is 590 kg of this type of shark.",MARCO_13255,2," Shark tooth. A shark tooth is one of the numerous teeth of a shark. A shark tooth contains resistant calcium phosphate materials. Sharks continually shed their teeth; some Carcharhiniformes shed approximately 35,000 teeth in a lifetime, replacing those that fall out. There are four basic types of shark teeth: dense flattened, needle-like, pointed lower with triangular upper, and non-functional. The type of tooth that a shark has depends on its diet and feeding habits. In some formations, shark's teeth are a",MARCO_1361406,1," Learning About Sharks Through Fossils: Consider some facts on why sharks have different types of teeth. General Facts on Shark Teeth: Read about the teeth of different types of sharks on this page from Cornell University. A Closer Look at Sharks and Their Teeth (PDF): Learn about the teeth of mako sharks and great white sharks along with others.",MARCO_1361407,1," The Parts of Shark Teeth (PDF): Take an in-depth look at the various parts of a shark's tooth and how this information helps scientists to identify sharks. A History of Fossilized Shark Teeth (PDF): Discover how the appearance of fossilized teeth can be different for two sharks of the same type.",MARCO_1361409,1,
2,32_1,32,1," <span>What are the different types of sharks?</span>"," Shark teeth are also useful in conducting research about the structure of teeth, shark migration patterns, and identifying shark species. The most ancient types of sharks date back to 450 million years ago, during the Late Ordovician period, and are mostly known by their fossilised teeth.",MARCO_1361411,1," Images of Sharks' Teeth: View images of teeth from different species of shark. The Differences in Shark Teeth: Click on a type of shark and find out more about the appearance of its teeth. Shark Evolution and Fossils: Learn how shark fossils reveal how much the shark has evolved over millions of years.",MARCO_1361413,1," Shark teeth are the most common type of fossil for a number of reasons. First, shark teeth, like most teeth, are made of dentin, a hard calcified tissue that does not easily decompose. Dentin is harder and denser than bone.In a tooth, the Dentin is surrounded by a very hard enamel shell.Secondly, to maintain a sharp smile, shark teeth are designed to regularly fall out and be replaced.dditionally, shark teeth can look different between male and female sharks of the same species, from juveniles to adults of the same species, and finally they look different if they are in the upper jaw vs. lower jaw.",MARCO_1398592,1," This article contains the list of different types of doctors and their descriptions. There are many types of doctors and this list clearly explains various types of doctors and what they do. Different Types of Doctors and What They Do Here is a list of different types of doctors and their medical specialties.1  Psychiatrist-Deals with mental health. 2  Podiatrist-Foot doctor. 3  Optometrist-Eye doctor. 4  Dentist-Tooth doctor. 5  Urologist-Deals with bladder. 6  Obstetrician-Deals with pregnancy and birth. 7  Pediatrician-Child doctor.8  Oncologist-Cancer doctor.his article contains the list of different types of doctors and their descriptions. There are many types of doctors and this list clearly explains various types of doctors and what they do. Different Types of Doctors and What They Do Here is a list of different types of doctors and their medical specialties.",MARCO_1803684,0," Each type of troops has its own type of Attack and Armor. Different Attack and Armor types give different advantages for battles. Some Attack types are effective against some armor types, but some aren't. All troops will deal only 65% damage to Heroic Armor no matter what Attack type they are.ifferent Attack and Armor types give different advantages for battles. Some Attack types are effective against some armor types, but some aren't. All troops will deal only 65% damage to Heroic Armor no matter what Attack type they are.",MARCO_200403,0,
3,32_1,32,1," <span>What are the different types of sharks?</span>"," TYPES OF SHARKS. To wrap it up, let's look at some of the types of sharks we've been discussing. ANGEL SHARK: 1  flat body like a stingray -- you can tell the shark is not a ray because the pectoral fins are not attached to the head.",MARCO_2174679,1," Thanks for visiting this Wonder of the Day about sharks, Madison! There are many, many different types of sharks, including Great Whites, in the oceans of the world. Because there are so many different sharks in so many different bodies of water, it would be impossible to count them all.",MARCO_2174682,1," Angel Sharks. One of the most unusual types of sharks our there are know as angel sharks. Many people mistake them for some other types of sea creature. It isnt uncommon for them to be thought of as large stingrays. But the simplest way to tell them apart is by looking at the location of the fins.",MARCO_2322020,1," This information will help you identify some of the common species of sharks. There are 440 different species of sharks in the world today classified into eight different orders described below with some examples of known sharks species for each group.",MARCO_2322023,2," Sharks are fish, they are a type of fish called chondricthyes or cartilaginous fish. This group includes Sharks, rays and a group of fish called Chimaera, none of the fish in this group have any bones, instead they have cartilage, click here to find out more about types of fish. There are 8 orders (types) of shark. We'll look at these now, in another part we'll look at their relatives and where they fit into the entire grouping of the animal kingdom. Each of the 8 orders of sharks have their own adaptations to their environment.",MARCO_2456353,2,
4,32_1,32,1," <span>What are the different types of sharks?</span>"," There are four different types of shark teeth. While sharks teeth do share the common traits described above, they have very different shapes and uses. There are four basic groups of shark diets and because of this there are four basic types of shark teeth. -Sharks that typically eat fish have long, narrow, needle-like teeth ideal for gripping something as slippery and streamlined as a fish.",MARCO_2621349,1," In the wild, it is thought that their life expectancy is 30 years. The typical lifespan in the wild for Hammerhead Sharks is from 20 to 30 years approximately. Sandbar sharks or Brown sharks are considered to live between 20 and 30 years. Research made by Joung (2004) identified to be about 20 years of age.n the wild, it is thought that their life expectancy is 30 years. The typical lifespan in the wild for Hammerhead Sharks is from 20 to 30 years approximately. Sandbar sharks or Brown sharks are considered to live between 20 and 30 years. Research made by Joung (2004) identified to be about 20 years of age.",MARCO_2719364,2," Shark lifespan vary by kind. Although the majority of types live 20 to 30 years in the wild, there are some kinds that live much longer than others. For example, the spiny dogfish has one of the longest lifespan at more than 100 years, while the blue shark in the wild has an average lifespan of 15-16 years.n the wild, it is thought that their life expectancy is 30 years. The typical lifespan in the wild for Hammerhead Sharks is from 20 to 30 years approximately. Sandbar sharks or Brown sharks are considered to live between 20 and 30 years. Research made by Joung (2004) identified to be about 20 years of age.",MARCO_2719365,2," The type of shark they are asking for is clearly a Great White  Shark.   It's alot faster than 1 mph, a human swims 2-5 mph average.   It depends on what kind of shar  k, but the mako can get up to 45-50  mph in short bursts. When a shark is hitting prey from underneath  they can reach up to 30mph.12 people found this useful.Answered. It's alot faster than 1 mph, a human swims 2-5 mph average.   It depends on what kind of shar  k, but the mako can get up to 45-50  mph in short bursts. When a shark is hitting prey from underneath  they can reach up to 30mph. 12 people found this useful. Answered.",MARCO_2861203,1," The shark's nose may work so well because it doesn't have to do anything else. Sharks use their noses just for smelling. Breathing is accomplished with a shark's gills, and the shark's sense of smell is not connected to its mouth in any way. Sharks often don't know how something is going to taste until they've taken a bite. This is how some people are able to escape from a shark attack -- the shark gets a little nibble of a foot and decides to reject the prey. Can sharks hear as well as they smell? Find out on the next page.",MARCO_3232784,0,
5,32_1,32,1," <span>What are the different types of sharks?</span>"," Most people have little difficulty recognizing a shark when they see one. Yet sharks are an incredibly diverse group of fishes, and unifying them all under a single definition is not as simple as many imagine.Sharks are, of course, most famous (and infamous) for their teeth.What makes shark teeth special is that they are produced and shed serially, rotating forward as though riding on a kind of dental conveyer belt.ike most fishes, sharks have two sets of paired fins (pectoral and pelvic, corresponding to arms and legs in humans) but-unlike those of bony fishes they are supported by soft, unsegmented rays called  ceratotrichia  (used in making shark-fin soup).",MARCO_3308284,1," From the blue shark to the whale shark, what are the 20 largest sharks? Check out this list of the 20 largest sharks from Shark Week.",MARCO_13253,1," The Six gill Shark which is also known as Cow Shark is among the largest sharks of the world. It is predator and feeds on different type of animals. This large shark is found in almost all Oceans, especially in Pacific Ocean. It can be as long as 18 ft.",MARCO_3506133,2," There are more than 400 different shark species, most of which can be found in coastal regions. They are present in every ocean of the world, with some species also inhabiting rivers. Sharks belong to the class of cartilaginous fish along side rays and chimeras.While the skeleton of all other fish is made of bone, the skeleton of sharks is made of cartilage. Cartilage is lighter and more flexible than bone allowing the shark to make tight turns quickly and to stay afloat.harks are a remarkably diverse group of fish. The largest species  the whale shark  can grow up to 12 meters in length while the smallest species  the dwarf lanternshark  only reaches a size of 17 centimeters.",MARCO_3559398,2," There are more than 350 different kinds of sharks, such as the great white and whale sharks. Fossils show that sharks have been around for 420 million years, since the early Silurian. Most sharks are predators, meaning they hunt and eat fish, marine mammals, and other sea creatures. However, the largest shark eats krill, like whales. This is the whale shark, the largest fish in the world.",MARCO_3855669,2,
6,32_1,32,1," <span>What are the different types of sharks?</span>"," Some common kinds of shark include the hammerhead shark, the great white shark, the tiger shark, and the mako shark.",MARCO_3855673,2," What is the climate of a great white shark? Do you mean what is the body temperature of a g+Great White Shark,  or what climate temperature do they prefer to live in?o you mean what is the body temperature of a g+Great White Shark,  or what climate temperature do they prefer to live in?",MARCO_3931762,1," There are four basic types of shark teeth: dense flattened, needle-like, pointed lower with triangular upper, and non-functional. The type of tooth that a shark has depends on its diet and feeding habits. In some formations, shark's teeth are a common fossil.",MARCO_3955620,0," The worlds smallest shark is said to be the dwarf lantern shark (Etmopterus perryi). When fully grown this shark reaches a length of just 6.7 inches (17cm).The females of this species are slightly larger at 7 12 to 8 inches (19  20 cm).he shark is a type of fish with a large, long body and predominant dorsal fin. They have a full cartilaginous skeleton and most species of shark have several rows of sharp teeth. They are covered with a layer of dermal denticles that protects their skin from damage and parasites.",MARCO_4021883,1," What Is The Smallest Species Of Shark? The worlds smallest shark is said to be the dwarf lantern shark (Etmopterus perryi). When fully grown this shark reaches a length of just 6.7 inches (17cm). The females of this species are slightly larger at 7 12 to 8 inches (19  20 cm).he shark is a type of fish with a large, long body and predominant dorsal fin. They have a full cartilaginous skeleton and most species of shark have several rows of sharp teeth. They are covered with a layer of dermal denticles that protects their skin from damage and parasites.",MARCO_4021884,1,
7,32_1,32,1," <span>What are the different types of sharks?</span>"," Hammerhead sharks are commonly seen in larger groups during the summer months when the hammerhead sharks are migrating together in search of cooler waters. The great hammerhead shark is the largest species of hammerhead shark and one of the few species of hammerhead shark that is potentially dangerous to humans.This is due to the sheer size of the giant hammerhead shark and also because the giant hammerhead is known to have an aggressive temperament.ammerhead sharks are commonly seen in larger groups during the summer months when the hammerhead sharks are migrating together in search of cooler waters. The great hammerhead shark is the largest species of hammerhead shark and one of the few species of hammerhead shark that is potentially dangerous to humans.",MARCO_4156741,2," Mating and Reproduction of Sharks. Habitat Evolution Features Anatomy Senses Reproduction. Our knowledge of the many different types of reproductive strategies of sharks is still limited. This variety is precisely why it is difficult to make a certain generalization on their reproductive methods, although these are what make sharks so successful.",MARCO_4181532,1," These young sharks may take several months to hatch. In certain species of sharks, the eggs stay inside the female shark for a period of time before they are laid, this allows the sharks to develop fully and spend less time in the immobile egg cases before they hatch. Types Of Sharks That Lay Eggs. Just a few species of sharks that lay eggs include: Bamboo sharks or carpet sharks. Swell sharks. Cat sharks. Horn (bullhead) sharks.",MARCO_4181538,2," This article contains the list of different types of doctors and their descriptions. There are many types of doctors and this list clearly explains various types of doctors and what they do. Different Types of Doctors and What They Do Here is a list of different types of doctors and their medical specialties.1  Psychiatrist-Deals with mental health. 2  Podiatrist-Foot doctor. 3  Optometrist-Eye doctor. 4  Dentist-Tooth doctor. 5  Urologist-Deals with bladder. 6  Obstetrician-Deals with pregnancy and birth. 7  Pediatrician-Child doctor.8  Oncologist-Cancer doctor.his article contains the list of different types of doctors and their descriptions. There are many types of doctors and this list clearly explains various types of doctors and what they do. Different Types of Doctors and What They Do Here is a list of different types of doctors and their medical specialties.",MARCO_1803684,0," The outer design of sharks and bony fish is also contrasting. 1  Shark skin is covered by dermal denticles, toothlike placoid scales that are covered with enamel. 2  Shark fins are stiff and lack the fine bony spines and muscle control found in teleost. 3  Both sharks and bony fish have caudal fins, or tail fins with two lobes. The skull of a shark is made of only 10 cartilaginous elements while a bony fish skull has about 63 bones. 2  Bony fish have pleural ribs formed from dermal bone and sharks lack these ribs. 3  Unlike bony fish that have a protective bony plate covering their vulnerable gills, the gill slits of a shark are exposed and visible.",MARCO_4203438,1,
8,32_1,32,1," <span>What are the different types of sharks?</span>"," There are four basic types of shark teeth: dense flattened, needle-like, pointed lower with triangular upper, and non-functional. The type of tooth that a shark has depends on its diet and feeding habits. In some geological formations, shark's teeth are a common fossil.he most ancient types of sharks date back to 450 million years ago, during the Late Ordovician period, and are mostly known by their fossilised teeth. However, the most commonly found fossil shark teeth are from the Cenozoic era (the last 66 million years).",MARCO_4577240,1," There are four different types of shark teeth. While sharks teeth do share the common traits described above, they have very different shapes and uses. There are four basic groups of shark diets and because of this there are four basic types of shark teeth.-Sharks that typically eat fish have long, narrow, needle-like teeth ideal for gripping something as slippery and streamlined as a fish.-Sharks that are benthic feeders, eating bivalves and crustaceans, have thick, plate-like teeth perfect for crushing the shells of their prey. sharks teeth are arranged in rows, the number of which varies from species to species. The row nearest the front of the mouth is the working row of teeth (though some sharks use up to the first 8 rows of teeth), and they are the largest teeth in a sharks mouth.",MARCO_4577241,2," There are a wide variety of shark teeth, just as there are a wide variety of sharks. These teeth can be divided into two general categories. Many shark species, such as the goblin shark and sand tiger, have very long, thin teeth.This structure is well suited for catching small fish. The shark kills the fish immediately, by piercing it with a single bite. Then it swallows the fish whole.Sharks that go after larger prey need a different strategy and a different sort of tooth. They tear into their prey several times, biting off large pieces of flesh. Sharks in this group, which includes the infamous great white shark, have wide serrated teeth.any shark species, such as the goblin shark and sand tiger, have very long, thin teeth. This structure is well suited for catching small fish. The shark kills the fish immediately, by piercing it with a single bite. Then it swallows the fish whole.",MARCO_4577246,2," Shark teeth are also useful in conducting research about the structure of teeth, shark migration patterns, and identifying shark species. The most ancient types of sharks date back to 450 million years ago, during the Late Ordovician period, and are mostly known by their fossilised teeth.However, the most commonly found fossil shark teeth are from the Cenozoic era (the last 66 million years).he most ancient types of sharks date back to 450 million years ago, during the Late Ordovician period, and are mostly known by their fossilised teeth. However, the most commonly found fossil shark teeth are from the Cenozoic era (the last 66 million years).",MARCO_4577248,1," Shark is the largest sea mammal in the world. There are a lots of shark species which are present in different oceans of the world. Among these shark species Whale Shark is the biggest shark in the world.Here is the list of names of largest sharks in the world with their habitat info.he Whale Shark is the largest and the heaviest living shark because its weight is more than 21 tons and its length is more than 12 meter. It is found in open oceans and warm waters. It feeds on plankton but some times it also uses other small fishes as food.",MARCO_4580648,1,
9,32_1,32,1," <span>What are the different types of sharks?</span>"," The life-span of tiger sharks in the wild is considered to be 27 years in average, even though some may live up to 50 years of age. As with other species, tiger sharks in captivity do not live as extensive as in wildlife reaching only 17 to 20 years.Some experts presume that the lifespan of the Great White Sharks is approximately 30 years (Levine, 1988) but other research indicates that they can reach up to 40 years.ately, GPS systems have brought a new way to track migration and how long do sharks live, providing more accurate information about them. Shark lifespan vary by kind and it is very different for each of them. While many types live 20 to 30 years in the wild, there are some types that live much longer than others.",MARCO_4674256,2," The typical life expectancy in the wild for Hammerhead Sharks is from 20 to 30 years approximately. Whale sharks (Rhincodon typus) are also believed to live above 100 years, suggesting that the time to reach maturity is longer and young will take longer to born, making this type of shark more vulnerable.ately, GPS systems have brought a new way to track migration and how long do sharks live, providing more accurate information about them. Shark lifespan vary by kind and it is very different for each of them. While many types live 20 to 30 years in the wild, there are some types that live much longer than others.",MARCO_4674257,2," In the wild, it is believed that their life expectancy is about 30 years. Sandbar sharks or Brown sharks are thought to live between 20 and 30 years. Investigation made by Joung (2004) found to be about 20 years of age. While, Sminkey (1996) mention that sandbar sharks can live to be more than 30 years old.ately, GPS systems have brought a new way to track migration and how long do sharks live, providing more accurate information about them. Shark lifespan vary by kind and it is very different for each of them. While many types live 20 to 30 years in the wild, there are some types that live much longer than others.",MARCO_4674258,2," Lately, GPS systems have brought a new way to track migration and how long do sharks live, providing more accurate information about them. Shark lifespan vary by kind and it is very different for each of them. While many types live 20 to 30 years in the wild, there are some types that live much longer than others.ately, GPS systems have brought a new way to track migration and how long do sharks live, providing more accurate information about them. Shark lifespan vary by kind and it is very different for each of them. While many types live 20 to 30 years in the wild, there are some types that live much longer than others.",MARCO_4674262,1," TYPES OF SHARKS. To wrap it up, let's look at some of the types of sharks we've been discussing. ANGEL SHARK: 1  flat body like a stingray -- you can tell the shark is not a ray because the pectoral fins are not attached to the head.2  They bury themselves in the sand or mud with only the eyes and part of the top of the body exposed.NGEL SHARK: 1  flat body like a stingray -- you can tell the shark is not a ray because the pectoral fins are not attached to the head. 2  They bury themselves in the sand or mud with only the eyes and part of the top of the body exposed.",MARCO_4724268,1,
10,32_1,32,1," <span>What are the different types of sharks?</span>"," The Six gill Shark which is also known as Cow Shark is among the largest sharks of the world. It is predator and feeds on different type of animals. This large shark is found in almost all Oceans, especially in Pacific Ocean. It can be as long as 18 ft. This predator shark rarely attacks on human. Average weight is 590 kg of this type of shark.",MARCO_13255,2," There are about 40 species of sharks found in the Hawaiian waters ranging from 8 inches to over 50 feet long. The most common sharks seen around Hawaii are Blacktip Sharks, Reef Blacktip Sharks, Reef Whitetip Sharks, Tiger Sharks, Sandbar Sharks, Galapagos Sharks, Scalloped Hammerhead Sharks, and Gray Reef Sharks.here are about 40 species of sharks found in the Hawaiian waters ranging from 8 inches to over 50 feet long. The most common sharks seen around Hawaii are Blacktip Sharks, Reef Blacktip Sharks, Reef Whitetip Sharks, Tiger Sharks, Sandbar Sharks, Galapagos Sharks, Scalloped Hammerhead Sharks, and Gray Reef Sharks.",MARCO_4754012,3," Which shark is larger megalodon shark or whale shark? megalodon shark was much bigger than whale shark cause a megalodon shark is almost 100 feet while an whale shark is just 62-75 feet.But the megalodon has been extinct for abo  ut 1.5 million years, leaving the whale shark the biggest shark alive.hich shark is larger megalodon shark or whale shark? megalodon shark was much bigger than whale shark cause a megalodon shark is almost 100 feet while an whale shark is just 62-75 feet.",MARCO_4893654,2," Genus: Mako sharks. Mako shark is better known as grey-blue shark. However, it still has a few other names: bonito shark, mackerel shark, black winged shark, blue pointer shark. It should also be noted that during the last century experts have described another kind of mako sharks: the Longfin mako shark.enus: Mako sharks. Mako shark is better known as grey-blue shark. However, it still has a few other names: bonito shark, mackerel shark, black winged shark, blue pointer shark. It should also be noted that during the last century experts have described another kind of mako sharks: the Longfin mako shark.",MARCO_4978407,2," There are four different types of shark teeth. While sharks teeth do share the common traits described above, they have very different shapes and uses. There are four basic groups of shark diets and because of this there are four basic types of shark teeth.",MARCO_521819,0,
