queryNum,subQueryNum,query,text1,document1,score1,text2,document2,score2,text3,document3,score3,text4,document4,score4,text5,document5,score5
75_1,1," <span>Why do turkey and Turkey share the same name?</span>"," Make sure there aren't any ice crystals in the bird's cavity before cooking. Poke the thicker parts of the turkey with a fork to make sure it feels soft and flexible. If the turkey is still hard, it may need more time. Step 6: Be sure your turkey is thawed. Make sure your turkey is completely thawed before you cook it.If the bird is still partially frozen, the recommended cooking time won't be enough to cook it thoroughly and you risk bacteria that can cause food-borne illness to survive the cooking process.ooking a turkey that hasn't completely thawed leaves you at a risk for food poisoning. Find out how long you need to completely thaw your turkey to enjoy a healthy, bacteria-free turkey dinner. Step 1: Remove the packaging.",MARCO_1602253,0," LHAM m Turkish. Turkish form of ILHAM. LHAN m Turkish. From the Mongolian title il-Khan meaning subordinate Khan , which was first adopted by Genghis Khan's grandson Hulagu, who ruled a kingdom called the Ilkhanate that stretched from modern Iran to eastern Turkey.REN m Turkish. Means saint, holy person in Turkish. ERHAN m Turkish. From Turkish er brave man and han, which is from the title khan meaning leader. ERKAN m Turkish. From Turkish er brave man and kan blood. ERKN m Turkish. Means free in Turkish. EROL m Turkish. Means brave in Turkish.",MARCO_2088688,0," The fact that the word turkey refers to both a country (Turkey) and a bird (turkey) in English is completely incidental. Turkey was not named after turkeys or vice versa. Tu  rkey is just the English version of the Turkish name Tuerkiye, trkiye literally: Meaning land of The tuerk. Trk People. regina murphyhe country is called Turkey because it's home to the Turks. When European settlers arrived in America, they encountered turkeys, which they mistook for being a guineaufowl.",MARCO_2226949,3," They were first domesticated in Mexico and brought to Europe in the 16th century. A male turkey is called a tom or a gobbler, a female turkey a hen, and a baby turkey a poult or chick. A young male turkey is called a jake and a young female is called a jenny.A group of wild turkeys is called a flock, a group of domesticated turkeys is commonly referred to as a rafter.Turkeys are able to adapt to a wide variety of habitats.However, most wild turkeys are found in hardwood forests with grassy areas.hey were first domesticated in Mexico and brought to Europe in the 16th century. A male turkey is called a tom or a gobbler, a female turkey a hen, and a baby turkey a poult or chick. A young male turkey is called a jake and a young female is called a jenny.",MARCO_2618046,0," I always make at least a 20 pound turkey, I figure why not have extra turkey. Im already making it, why not make more. Its really no more work to cook a 20 lb turkey than it is a 10 or 15 lb turkey. I love having the turkey to put in all sorts of meals.ou also see people putting a big turkey in the oven frozen or somehow it thaws out in a couple hours, again only on TV does that seem to work. The truth is it takes days to thaw a 20 lb. turkey. 2-3 days in cold water (I thaw my turkey in a cooler) this is my preferred method.",MARCO_3260627,0
75_1,1," <span>Why do turkey and Turkey share the same name?</span>"," The Mistake That Gave Turkey (the Bird) the Same Name as Turkey (the Nation) The republic of Turkey (look north of Egypt, east of Greece) isnt exactly a breeding ground for the bird that Americans associate with Thanksgiving.",MARCO_4081335,1," How to Clean and Prepare Wild Turkey. The first step to cooking your wild turkey is to clean it and prepare it. There are two main ways of doing this: by manually plucking the turkey or by skinning it.It is recommended to skin the turkey for fast preparation. Skinning the turkey is a lot faster and less messy.To skin the turkey, here are the steps you would take: 1  Cut off the fan by cutting off the skin at the tail of the turkey. 2  Cut off the wings of the turkey at the second joint.t is recommended to skin the turkey for fast preparation. Skinning the turkey is a lot faster and less messy. To skin the turkey, here are the steps you would take: 1  Cut off the fan by cutting off the skin at the tail of the turkey. 2  Cut off the wings of the turkey at the second joint.",MARCO_4472997,0," Here's the reason why Turkey is called Turkey. Well actually the word Turkey (country) came from England. The English said it was too hard to pronounce the word Turkiye I mean all you have to say is turk-ee-air..That's what I hate about those pesky English fools.They think they have the right to say any word their way!ell actually the word Turkey (country) came from England. The English said it was too hard to pronounce the word Turkiye I mean all you have to say is turk-ee-air.. That's what I hate about those pesky English fools. They think they have the right to say any word their way!",MARCO_45412,0," But the name of the country is Tuerkiye trkiye In.Turkish you can find many turkeys in turkey but they are not From. Turkey The french call  the m dinde which translates as From. India The turks also thought they came From india and (therefor as noted) above called Them (hindi From). indiactually you dont call Turkey the country as turkey the animal. you call the animal as Turkey. because the first turkey(hindi animal) comes from the country Turkey. lots of turkeys huh.",MARCO_45417,1," When the Europeans came upon the American turkey, they thought it was the same bird as the African guinea fowl, and so gave it the name turkey, although the two species are quite distinct. Turkey is low in fat and high in protein.",MARCO_4678608,1
75_1,1," <span>Why do turkey and Turkey share the same name?</span>"," Here's how to cook a turkey, complete with turkey cooking times, how to carve a turkey, and more turkey recipes. Here's how to cook a turkey, complete with turkey cooking times, how to carve a turkey, and more turkey recipes.",MARCO_5231592,0," A popular myth (since at least the 2000s) is that founding father Thomas Jefferson favored the bald eagle as the national bird, while Benjamin Franklin favored the turkey. After the eagle was selected, Franklin allegedly named it tom turkey after Jefferson.",MARCO_5402559,0," You never know where the turkeys are going to be. Weather Conditions best time to hunt turkeys The first thing I do when I see rain during turkey season is start to salivate. Turkey Hunting For Beginners tips for making their first hunt more enjoyable Turkey hunting carries its share of mystique.Veteran turkey hunters speak of wily toms as if they were ghosts.eather Conditions best time to hunt turkeys The first thing I do when I see rain during turkey season is start to salivate. Turkey Hunting For Beginners tips for making their first hunt more enjoyable Turkey hunting carries its share of mystique. Veteran turkey hunters speak of wily toms as if they were ghosts.",MARCO_5712618,0," Turkey may refer to: Turkey, a country in Southeastern Europe and western Asia Turkey (bird), a large gamebird, native to North America. Meat from the Domesticated turkey, used for food two different kinds of birds endemic to Australia, the Brush Turkey, and the Australian Bustard, sometimes also called the Australian Turkey.",MARCO_622655,0," Comments and insights on the name Kaia:  Edit. We named our daughter Kaia after spending a lot of time trying to find the perfect name. We got it from a Greek ghost town in Turkey we visited called KATAKAYA, but the locals just call it KAYA, we changed the spelling because we thought it was more creative.We got lucky on the middle name of Jeanne because my mom, my husbands mother and I, all share the very British middle name.e got it from a Greek ghost town in Turkey we visited called KATAKAYA, but the locals just call it KAYA, we changed the spelling because we thought it was more creative. We got lucky on the middle name of Jeanne because my mom, my husbands mother and I, all share the very British middle name.",MARCO_672770,0
75_1,1," <span>Why do turkey and Turkey share the same name?</span>"," Wild Turkey. Meleagris gallopavo. Wild turkeys, with their distinctive feathers and gobbling call, were Benjamin Franklin's choice for the national bird of the United States. Photograph courtesy Gary M. StolzU.S.ild Turkey Range. The turkey was Benjamin Franklin's choice for the United States's national bird. The noble fowl was a favored food of Native Americans. When Europeans arrived, they made it one of only two domestic birds native to the Americasthe Muscovy duck shares the distinction.",MARCO_7361171,0," How much cholesterol is in Mesquite Turkey? Amount of cholesterol in Mesquite Turkey: Cholesterol: How much sodium is in Mesquite Turkey? Amount of sodium in Mesquite Turkey: Sodium: How many carbs are in Mesquite Turkey? Amount of carbs in Mesquite Turkey: Carbohydrates: How many net carbs are in Mesquite Turkey? Amount of net carbs in Mesquite Turkey: Net carbs How much fiber is in Mesquite Turkey? Amount of fiber in Mesquite Turkey: Fiber How much protein is in Mesquite Turkey? Amount of protein in Mesquite Turkey: Protein: Vitamins and minerals: How much Vitamin A is in Mesquite Turkey? Amount of Vitamin A in Mesquite Turkey: Vitamin A How much Vitamin C is in Mesquite Turkey?",MARCO_7413024,0," Share this: Put some love into your wrap by cooking up a batch of ground turkey simmered in sumptuous spices and bacon instead of plain old cold-cuts. Each bite of this turkey and bacon wrap bursts with savory turkey and cool, creamy ranch. 1 pound JENNIE-O Ground Turkey. 2 tablespoons bacon bits.",MARCO_7604236,0," Iron & Steel Scrap Market in Turkey Page 2 of 5 export.gov The U.S. Commercial Service  Your Global Business Partner. 800-USA-TRADE Best Prospects Of the scrap imports into Turkey totaling 16.2 billion tons, and $4.3 in 2015, ferrous scrap (HS 720449) has the largest share with 99%. United States is the largest exporter of HS 720449, with 3.8 billion tons and $1 billion. million, and United States again has a remarkable share with 30%. The Turkish market primarily supplies iron and steel scrap from United States, Russia, UK, Belgium and Ukraine. foundry and test results are satisfactory.",MARCO_8676993,0," Make sure there aren't any ice crystals in the bird's cavity before cooking. Poke the thicker parts of the turkey with a fork to make sure it feels soft and flexible. If the turkey is still hard, it may need more time. Step 6: Be sure your turkey is thawed. Make sure your turkey is completely thawed before you cook it.If the bird is still partially frozen, the recommended cooking time won't be enough to cook it thoroughly and you risk bacteria that can cause food-borne illness to survive the cooking process.ooking a turkey that hasn't completely thawed leaves you at a risk for food poisoning. Find out how long you need to completely thaw your turkey to enjoy a healthy, bacteria-free turkey dinner. Step 1: Remove the packaging.",MARCO_1602253,0
75_2,2," Why do turkey and Turkey share the same name?<br/><span>Where are turkeys from?</span>"," A turkey is called 'Hindi' in Turkish. But the name of the country is Trkiye in Turkish.You can find many turkeys in turkey but they are not from Turkey. The French call them dinde which translates as from India. The Turks also thought they came from India and therefor (as noted above) called them Hindi (from India).",MARCO_1266615,1," Turkish people (Turkish: Tuerk trk), Milleti (Turks: Turkish) tuerkler Trkler Or (Anatolian: Turks Turkish) anadolu tuerkleri Trkleri are a. Turkic ethnic group they are mostly made Up of assimilated anatolian populations and are Native to The. Republic of turkey they are also the most numerous ethnic Group among. the turkic peoplesrticle 66 of the Turkish Constitution defines a  Turk  as anyone who is bound to the Turkish state through the bond of citizenship .. Currently, a new constitution is being written, which may address citizenship and ethnicity issues.",MARCO_1663257,0," Turkish masculine name meaning bard, poet. PAPATYA f Turkish. Means daisy in Turkish. PARLA f Turkish. Turkish feminine name derived from the word parlamak meaning flash, shine, beam, sparkle, glow, blaze or parldamak meaning shine, glitter, glimmer, sparkle, twinkle, gleam.urkish form of the feminine given name Nawal. NEVIN f Turkish. Turkish feminine name of Persian origin meaning new; the new(est) one.... more. NEVZAT m Turkish. NIHAL m & f Turkish. Originally of Arabic origin meaning joyous, or successful... more. NILAY f Turkish. Moon over the Nile...",MARCO_2088689,0," But the name of the country is Tuerkiye trkiye In.Turkish you can find many turkeys in turkey but they are not From. Turkey The french call  the m dinde which translates as From. India The turks also thought they came From india and (therefor as noted) above called Them (hindi From). indiahe country is called Turkey because it's home to the Turks. When European settlers arrived in America, they encountered turkeys, which they mistook for being a guineaufowl.",MARCO_2226950,1," They were first domesticated in Mexico and brought to Europe in the 16th century. A male turkey is called a tom or a gobbler, a female turkey a hen, and a baby turkey a poult or chick. A young male turkey is called a jake and a young female is called a jenny.A group of wild turkeys is called a flock, a group of domesticated turkeys is commonly referred to as a rafter.Turkeys are able to adapt to a wide variety of habitats.However, most wild turkeys are found in hardwood forests with grassy areas.hey were first domesticated in Mexico and brought to Europe in the 16th century. A male turkey is called a tom or a gobbler, a female turkey a hen, and a baby turkey a poult or chick. A young male turkey is called a jake and a young female is called a jenny.",MARCO_2618046,2
75_2,2," Why do turkey and Turkey share the same name?<br/><span>Where are turkeys from?</span>"," Again, you put the chicken inside a fine Berri turkey, and roast the turkey very carefully before a bright fire. What will be the result? All the juice of the turkey is absorbed by the fowl, and all the juice of the fowl in its turn by the quail.After two hours roasting the fowl, which in reality it composed of three fowls, is ready, and you place the steaming trinity upon a dish of fine porcelain or chiseled silver.Then you pull the chicken out of the turkey, and the quail out of the chicken.gain, you put the chicken inside a fine Berri turkey, and roast the turkey very carefully before a bright fire. What will be the result? All the juice of the turkey is absorbed by the fowl, and all the juice of the fowl in its turn by the quail.",MARCO_285637,0," Wild turkeys (Meleagris gallopavo) are native to the Nearctic region. They are found throughout most of the eastern United States, and in patches throughout the western United States. They are also found in parts of northern Mexico, including in the Sierra Nevada mountains.",MARCO_3508115,2," The turkey is a large bird in the genus Meleagris, which is native to the Americas. One species, Meleagris gallopavo (commonly known as the wild turkey or domestic turkey), is native to the forests of North America, mainly Mexico and the United States.The other living species is Meleagris ocellata or the ocellated turkey, native to the forests of the Yucatan Yucatn. peninsulane species, Meleagris gallopavo (commonly known as the wild turkey or domestic turkey), is native to the forests of North America, mainly Mexico and the United States. The other living species is Meleagris ocellata or the ocellated turkey, native to the forests of the Yucatan Yucatn. peninsula",MARCO_4100583,4," Wild turkeys are polygamous birds, which means they do not have the same mate for life. The male turkey will mate with many females within a season but it is unlikely that a female will mate with more than one male.On rare occasions if the first nest of eggs fails, the female will lay another.ild turkeys are polygamous birds, which means they do not have the same mate for life. The male turkey will mate with many females within a season but it is unlikely that a female will mate with more than one male.",MARCO_4376811,0," The country is called Turkey because it's home to the Turks. When European settlers arrived in America, they encountered turkeys, which they mistook for being a guineaufowl.  The guineafowl was also called the turkey fowl because it was imported into Western Europe regularly from Turkey.ell actually the word Turkey (country) came from England. The English said it was too hard to pronounce the word Turkiye I mean all you have to say is turk-ee-air.. That's what I hate about those pesky English fools. They think they have the right to say any word their way!",MARCO_45411,1
75_2,2," Why do turkey and Turkey share the same name?<br/><span>Where are turkeys from?</span>"," Don't bother with a whole turkey  just roast a turkey breast! One half-breast or even a whole turkey breast makes more than enough for a small party of four to six. (And yes, you'll still have plenty of pan drippings to make gravy.) Turkey breasts are also a cinch to roast.No flipping, no basting, no fuss.on't bother with a whole turkey  just roast a turkey breast! One half-breast or even a whole turkey breast makes more than enough for a small party of four to six. (And yes, you'll still have plenty of pan drippings to make gravy.) Turkey breasts are also a cinch to roast.",MARCO_4738840,0," From a Turkish title meaning king, ruler, ultimately of Mongolian origin ... more. KASIM m Turkish. Turkish form of QASIM. KELEBEK f Turkish. Means butterfly in Turkish. KEMAL m Turkish. Turkish form of KAMAL (1) ...",MARCO_4953658,0," Turkeys are native to North America. They are a type of poultry that belong to the order Galliformes, along with chickens. There are two species of wild turkey: the North American Wild Turkey (Meleagris gallopavo) and the Central American Ocellated Turkey (M. ocellata).",MARCO_4997782,3," Wild turkeys are polygamous birds, which means they do not have the same mate for life. The male turkey will mate with many females within a season but it is unlikely that a female will mate with more than one male.On rare occasions if the first nest of eggs fails, the female will lay another.After the nest is laid, the male will go out to court other females. Turkeys are usually seen in family units.ale turkeys begin their courtship displays for the females in April. Each male will mate with several females within a single mating period. Each female turkey builds her own nest, where she lays an average of twelve eggs over a two-week period (about one egg per day).",MARCO_532142,0," Turkeys are the only breed of poultry native to the Western Hemisphere. They were first domesticated in Mexico and brought to Europe in the 16th century. A male turkey is called a tom or a gobbler, a female turkey a hen, and a baby turkey a poult or chick.",MARCO_5485745,2
75_2,2," Why do turkey and Turkey share the same name?<br/><span>Where are turkeys from?</span>"," You never know where the turkeys are going to be. Weather Conditions best time to hunt turkeys The first thing I do when I see rain during turkey season is start to salivate. Turkey Hunting For Beginners tips for making their first hunt more enjoyable Turkey hunting carries its share of mystique.Veteran turkey hunters speak of wily toms as if they were ghosts.eather Conditions best time to hunt turkeys The first thing I do when I see rain during turkey season is start to salivate. Turkey Hunting For Beginners tips for making their first hunt more enjoyable Turkey hunting carries its share of mystique. Veteran turkey hunters speak of wily toms as if they were ghosts.",MARCO_5712618,0," Turkey may refer to: Turkey, a country in Southeastern Europe and western Asia Turkey (bird), a large gamebird, native to North America. Meat from the Domesticated turkey, used for food two different kinds of birds endemic to Australia, the Brush Turkey, and the Australian Bustard, sometimes also called the Australian Turkey.",MARCO_622655,2," A Turkish name consists of an ad or an isim (given name; plural adlar and isimler) and a soyad or soyisim (surname). Turkish names exist in a full name format. While there is only one soyad (surname) in the full name, for men, there may be more than one ad (given name) for all.urkish names are often words which have specific meanings in the Turkish language. These names are almost always pure Turkish names that derive from Turkish words. These names may either be modern names or be derived from ancient Turkic mythology.",MARCO_6628930,0," Turkeys are large birds related to pheasants. They lived almost 10 million years ago. Wild turkeys are native to wooded areas of North America. Turkeys are the only breed of poultry native to the Western Hemisphere.They were first domesticated in Mexico and brought to Europe in the 16th century. A male turkey is called a tom or a gobbler, a female turkey a hen, and a baby turkey a poult or chick.A young male turkey is called a jake and a young female is called a jenny. A group of wild turkeys is called a flock, a group of domesticated turkeys is commonly referred to as a rafter.hey were first domesticated in Mexico and brought to Europe in the 16th century. A male turkey is called a tom or a gobbler, a female turkey a hen, and a baby turkey a poult or chick. A young male turkey is called a jake and a young female is called a jenny.",MARCO_7361174,3," Benjamin Franklin, 1784. The Turkey in America. The turkey (Meleagris gallapavo) is a native game bird of North America, originally found in abundance. from Maine to Central America and from the Atlantic to present-day Colorado. The turkey was first domesticated by the Aztecs of Mexico.The Spanish took the domesticated turkey from Mexico to Europe about 1519.n the 1600s, the wild turkey was a very common bird through the eastern two-thirds of the United States. By 1900, however, hunting and the destruction of their natural woodland habitat had pushed the wild turkey to the brink of extinction.",MARCO_7495815,3
75_2,2," Why do turkey and Turkey share the same name?<br/><span>Where are turkeys from?</span>"," Where is Turkey located on the world map? The given Turkey location map shows that Turkey is located in the western Asia and Eastern Europe. Likewise, Turkey is Eurasian country; though, its larger geographical area is in Asia and only small area is in Europe. Turkey map also illustrates that it shares its international boundaries with Greece in the west; Bulgaria in the northwest; Georgia in the northeast; Armenia, Azerbaijan, and Iran in the east; and Iraq and Syria in the southeast.",MARCO_7757304,0," Fun Turkey Facts for Kids. There are two different species of turkeys the wild turkey and the ocellated turkey. There are five sub-species of wild turkeys: Eastern Wild Turkey, Osceola (Florida) Wild Turkey, Rio Grande Wild Turkey, Merriams Wild Turkey and Goulds Wild Turkey. Wild Turkeys live across North America.",MARCO_802769,2," Turkish people (Turkish: Tuerk trk), Milleti (Turks: Turkish) tuerkler Trkler Or (Anatolian: Turks Turkish) anadolu tuerkleri Trkleri are a. Turkic ethnic group they are mostly made Up of assimilated anatolian populations and are Native to The. Republic of turkey they are also the most numerous ethnic Group among. the turkic peoplesrticle 66 of the Turkish Constitution defines a  Turk  as anyone who is bound to the Turkish state through the bond of citizenship .. Currently, a new constitution is being written, which may address citizenship and ethnicity issues.",MARCO_1663257,0," A turkey is called 'Hindi' in Turkish. But the name of the country is Trkiye in Turkish.You can find many turkeys in turkey but they are not from Turkey. The French call them dinde which translates as from India. The Turks also thought they came from India and therefor (as noted above) called them Hindi (from India).",MARCO_1266615,1," They were first domesticated in Mexico and brought to Europe in the 16th century. A male turkey is called a tom or a gobbler, a female turkey a hen, and a baby turkey a poult or chick. A young male turkey is called a jake and a young female is called a jenny.A group of wild turkeys is called a flock, a group of domesticated turkeys is commonly referred to as a rafter.Turkeys are able to adapt to a wide variety of habitats.However, most wild turkeys are found in hardwood forests with grassy areas.hey were first domesticated in Mexico and brought to Europe in the 16th century. A male turkey is called a tom or a gobbler, a female turkey a hen, and a baby turkey a poult or chick. A young male turkey is called a jake and a young female is called a jenny.",MARCO_2618046,2
75_3,3," Why do turkey and Turkey share the same name?<br/>Where are turkeys from?<br/><span>What was their importance in native cultures?</span>"," It is natively spoken by the Turkish people in Turkey, Balkans, the island of Cyprus, Meskhetia, and other areas of traditional settlement that formerly, in whole or part, belonged to the Ottoman Empire.Turkish is the official language of Turkey.t is natively spoken by the Turkish people in Turkey, Balkans, the island of Cyprus, Meskhetia, and other areas of traditional settlement that formerly, in whole or part, belonged to the Ottoman Empire. Turkish is the official language of Turkey.",MARCO_1203795,0," So that the people can continue their native language and keep it, and communicate with those who know the native culture. Unity, and nationalism. Benefits: continues native culture, the native culture's pride, and unifies the people.",MARCO_205896,0," The reason why storytelling is so important to Native Americans' culture is because it passes down history of their ancestors and the creation of the Indians. Some of the stor  ies that were told were about how things came to be, about why things happened, and to teach a lesson.he buffalo were their food source-so they followed the  buffalo heards when they migrated. They also used their skins for  clothing, their bones for tools.   Buffalo  were important for the natives because they gave them  meat,bones,skin.  The buffalo is like the Native's lifeline.",MARCO_2383729,0," Native American Culture. Perhaps no other group of people has quite the rich and storied culture as those of the Native Americans. They have a history rich in struggle, strife, and triumph.So many aspects of our modern life were adapted from the old Indian cultures practiced centuries ago.otem poles were a very integral part of Native American culture. The Indians believed that each person was assigned the spirit of a particular animal, and that their spirit was absorbed into this animal in death.",MARCO_264349,0," In the late 1770s, Benjamin Franklin suggested that the turkey should be the symbol for the fledgling United States. He argued that the bald eagle was no better than a pirate and a fish-eater (mostly true). The American turkey lost to the bald eagle by a single congressional vote. Native Americans in the Southwest and Mexico kept turkeys for feathers and food, and the birds, with their alarm calls, probably were good watch dogs as well. The Indians used the feathers in ceremonies, and they twisted and plaited the feathers with twine to form blankets.",MARCO_3189616,2
